,name,block_num,trial_num,probe1_answ,probe2_answ
0,1,training,1,NA,NA
1,1,training,1,NA,NA
2,1,training,1,NA,NA
3,1,training,1,NA,NA
4,1,training,1,NA,NA
5,1,training,1,NA,NA
6,1,training,1,NA,NA
7,1,training,1,NA,NA
8,1,training,1,NA,NA
9,1,training,1,NA,NA
10,1,training,1,NA,NA
11,1,0,1,NA,NA
12,1,0,2,NA,NA
13,1,0,3,NA,NA
14,1,0,4,6,['B1']
15,1,1,1,6,['B1']
16,1,1,2,6,['B1']
17,1,1,3,NA,NA
18,1,1,4,NA,NA
19,1,2,1,NA,NA
20,1,2,2,NA,NA
21,1,2,3,6,['B1']
22,1,2,4,6,['B1']
23,1,3,1,NA,NA
24,1,3,2,6,['B1']
25,1,3,3,6,['B1']
26,1,3,4,NA,NA
27,1,4,1,NA,NA
28,1,4,2,NA,NA
29,1,4,3,6,['B1']
30,1,4,4,6,['B1']
31,1,5,1,NA,NA
32,1,5,2,6,['B1']
33,1,5,3,NA,NA
34,1,5,4,6,['B1']
35,1,6,1,6,['B1']
36,1,6,2,NA,NA
37,1,6,3,NA,NA
38,1,6,4,6,['B1']
39,1,7,1,6,['B1']
40,1,7,2,6,['B1']
41,1,7,3,NA,NA
42,1,7,4,NA,NA
43,1,8,1,6,['B1']
44,1,8,2,NA,NA
45,1,8,3,NA,NA
46,1,8,4,6,['B1']
47,1,9,1,6,['B1']
48,1,9,2,6,['B1']
49,1,9,3,NA,NA
50,1,9,4,NA,NA
51,1,10,1,NA,NA
52,1,10,2,6,['B1']
53,1,10,3,6,['B1']
54,1,10,4,NA,NA
55,1,11,1,NA,NA
56,1,11,2,NA,NA
57,1,11,3,6,['B1']
58,1,11,4,6,['B1']
