,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,021,training,1,5,['B1'],237664
1,021,training,1,5,['B1'],279175
2,021,training,1,NA,NA,NA
3,021,training,1,NA,NA,NA
4,021,0,1,NA,NA,NA
5,021,0,2,5,"['B3', 'B1']",456625
6,021,0,3,NA,NA,NA
7,021,0,4,5,['B1'],537376
8,021,1,1,NA,NA,NA
9,021,1,2,5,"['B3', 'B1']",646148
10,021,1,3,5,"['B3', 'B1']",712826
11,021,1,4,NA,NA,NA
12,021,2,1,NA,NA,NA
13,021,2,2,NA,NA,NA
14,021,2,3,4,['B3'],909410
15,021,2,4,6,['B1'],954400
16,021,3,1,4,['B4'],1002510
17,021,3,2,4,['B3'],1056327
18,021,3,3,NA,NA,NA
19,021,3,4,NA,NA,NA
20,021,4,1,6,['B1'],1210084
21,021,4,2,5,['B1'],1246444
22,021,4,3,NA,NA,NA
23,021,4,4,NA,NA,NA
24,021,5,1,4,"['B3', 'B2']",1354551
25,021,5,2,6,['B1'],1403778
26,021,5,3,NA,NA,NA
27,021,5,4,NA,NA,NA
28,021,6,1,5,"['B1', 'B4']",1558911
29,021,6,2,NA,NA,NA
30,021,6,3,NA,NA,NA
31,021,6,4,4,"['B3', 'B4']",1668078
32,021,7,1,5,['B4'],1725295
33,021,7,2,NA,NA,NA
34,021,7,3,NA,NA,NA
35,021,7,4,5,['B3'],1867896
36,021,8,1,5,['B4'],1934329
37,021,8,2,NA,NA,NA
38,021,8,3,4,"['B2', 'B3']",2005868
39,021,8,4,NA,NA,NA
40,021,9,1,NA,NA,NA
41,021,9,2,4,"['B2', 'B3']",2130296
42,021,9,3,5,['B3'],2184813
43,021,9,4,NA,NA,NA
44,021,10,1,6,['B1'],2303780
45,021,10,2,NA,NA,NA
46,021,10,3,NA,NA,NA
47,021,10,4,3,"['B3', 'B4']",2408564
48,021,11,1,5,['B1'],2463181
49,021,11,2,NA,NA,NA
50,021,11,3,5,['B4'],2555331
51,021,11,4,NA,NA,NA
