,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,017,training,1,NA,NA,NA
1,017,training,1,NA,NA,NA
2,017,training,1,NA,NA,NA
3,017,training,1,NA,NA,NA
4,017,0,1,NA,NA,NA
5,017,0,2,6,['B1'],409765
6,017,0,3,6,[],448897
7,017,0,4,NA,NA,NA
8,017,1,1,NA,NA,NA
9,017,1,2,4,['B2'],563853
10,017,1,3,5,['B2'],635099
11,017,1,4,NA,NA,NA
12,017,2,1,6,['B1'],732681
13,017,2,2,NA,NA,NA
14,017,2,3,NA,NA,NA
15,017,2,4,4,['B3'],835731
16,017,3,1,5,['B3'],884498
17,017,3,2,NA,NA,NA
18,017,3,3,4,['B3'],974665
19,017,3,4,NA,NA,NA
20,017,4,1,NA,NA,NA
21,017,4,2,6,['B1'],1103132
22,017,4,3,5,['B3'],1138899
23,017,4,4,NA,NA,NA
24,017,5,1,NA,NA,NA
25,017,5,2,5,['B3'],1252018
26,017,5,3,NA,NA,NA
27,017,5,4,6,['B1'],1334983
28,017,6,1,NA,NA,NA
29,017,6,2,5,"['B2', 'B3']",1444316
30,017,6,3,NA,NA,NA
31,017,6,4,4,"['B2', 'B3']",1512522
32,017,7,1,NA,NA,NA
33,017,7,2,4,"['B3', 'B2']",1596988
34,017,7,3,5,['B2'],1643317
35,017,7,4,NA,NA,NA
36,017,8,1,6,['B1'],1740620
37,017,8,2,5,['B2'],1774967
38,017,8,3,NA,NA,NA
39,017,8,4,NA,NA,NA
40,017,9,1,NA,NA,NA
41,017,9,2,5,['B4'],1921901
42,017,9,3,5,"['B1', 'B4']",1972701
43,017,9,4,NA,NA,NA
44,017,10,1,NA,NA,NA
45,017,10,2,6,['B1'],2094801
46,017,10,3,5,['B3'],2131018
47,017,10,4,NA,NA,NA
48,017,11,1,5,"['B2', 'B4']",2207955
49,017,11,2,6,['B1'],2260085
50,017,11,3,NA,NA,NA
51,017,11,4,NA,NA,NA
