,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,012,training,1,5,['B1'],283372
1,012,training,1,NA,NA,NA
2,012,training,1,NA,NA,NA
3,012,training,1,4,['B3'],396186
4,012,training,1,4,['B3'],438859
5,012,0,1,6,['B1'],524770
6,012,0,2,NA,NA,NA
7,012,0,3,5,['B1'],644770
8,012,0,4,NA,NA,NA
9,012,1,1,NA,NA,NA
10,012,1,2,5,['B3'],758354
11,012,1,3,NA,NA,NA
12,012,1,4,5,['B3'],842287
13,012,2,1,NA,NA,NA
14,012,2,2,NA,NA,NA
15,012,2,3,4,['B2'],993788
16,012,2,4,6,['B5'],1044205
17,012,3,1,NA,NA,NA
18,012,3,2,NA,NA,NA
19,012,3,3,3,['B4'],1159122
20,012,3,4,5,['B1'],1195706
21,012,4,1,NA,NA,NA
22,012,4,2,NA,NA,NA
23,012,4,3,4,"['B4', 'B2']",1390305
24,012,4,4,5,['B1'],1443289
25,012,5,1,NA,NA,NA
26,012,5,2,6,['B1'],1511789
27,012,5,3,NA,NA,NA
28,012,5,4,5,['B2'],1577362
29,012,6,1,5,['B1'],1921840
30,012,6,2,5,['B2'],1966140
31,012,6,3,NA,NA,NA
32,012,6,4,NA,NA,NA
33,012,7,1,NA,NA,NA
34,012,7,2,5,['B3'],2118990
35,012,7,3,4,['B2'],2157257
36,012,7,4,NA,NA,NA
37,012,8,1,4,['B1'],2268057
38,012,8,2,NA,NA,NA
39,012,8,3,NA,NA,NA
40,012,8,4,4,['B2'],2397330
41,012,9,1,5,['B1'],2434158
42,012,9,2,5,['B1'],2472641
43,012,9,3,NA,NA,NA
44,012,9,4,NA,NA,NA
45,012,10,1,5,['B2'],2593914
46,012,10,2,NA,NA,NA
47,012,10,3,5,['B2'],2675541
48,012,10,4,NA,NA,NA
49,012,11,1,NA,NA,NA
50,012,11,2,NA,NA,NA
51,012,11,3,4,['B2'],2810675
52,012,11,4,4,['B2'],2844692
