,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,006,training,1,NA,NA,NA
1,006,training,1,NA,NA,NA
2,006,training,1,NA,NA,NA
3,006,training,1,5,"['B1', 'B5']",265448
4,006,training,1,NA,NA,NA
5,006,0,1,NA,NA,NA
6,006,0,2,5,"['B1', 'B5']",401919
7,006,0,3,NA,NA,NA
8,006,0,4,4,"['B1', 'B5']",502030
9,006,1,1,5,['B1'],546281
10,006,1,2,4,"['B4', 'B1']",582964
11,006,1,3,NA,NA,NA
12,006,1,4,NA,NA,NA
13,006,2,1,NA,NA,NA
14,006,2,2,NA,NA,NA
15,006,2,3,5,"['B1', 'B4']",794548
16,006,2,4,6,['B1'],847481
17,006,3,1,4,['B2'],885071
18,006,3,2,NA,NA,NA
19,006,3,3,NA,NA,NA
20,006,3,4,5,"['B1', 'B5']",993654
21,006,4,1,NA,NA,NA
22,006,4,2,4,"['B4', 'B1']",1097005
23,006,4,3,NA,NA,NA
24,006,4,4,5,"['B1', 'B5']",1191516
25,006,5,1,NA,NA,NA
26,006,5,2,4,"['B5', 'B4']",1261316
27,006,5,3,NA,NA,NA
28,006,5,4,6,['B1'],1329983
29,006,6,1,NA,NA,NA
30,006,6,2,NA,NA,NA
31,006,6,3,3,"['B2', 'B1']",1471950
32,006,6,4,6,['B1'],1519773
33,006,7,1,4,"['B5', 'B4']",1562600
34,006,7,2,NA,NA,NA
35,006,7,3,4,"['B1', 'B5']",1636917
36,006,7,4,NA,NA,NA
37,006,8,1,NA,NA,NA
38,006,8,2,3,"['B2', 'B1']",1772735
39,006,8,3,5,"['B1', 'B5']",1832618
40,006,8,4,NA,NA,NA
41,006,9,1,NA,NA,NA
42,006,9,2,NA,NA,NA
43,006,9,3,6,['B1'],1969502
44,006,9,4,6,['B1'],2007857
45,006,10,1,5,['B1'],2064475
46,006,10,2,NA,NA,NA
47,006,10,3,4,"['B1', 'B4']",2151635
48,006,10,4,NA,NA,NA
49,006,11,1,NA,NA,NA
50,006,11,2,4,"['B1', 'B4']",2258319
51,006,11,3,4,"['B1', 'B5']",2297506
52,006,11,4,NA,NA,NA
