,name,random,block_num,block_exp_time,block_load,block_settings,trial_num,trial_exp_time,pres_letter,letter_pres_exp_time,answ_letter,letter_answ_exp_time,letter_react_time,letter_memory_time,pres_eq,eq_pres_exp_time,eq_truthvalue,truth_given,truth_react_time
0,028,False,training,130003,4,21,1,130297,Q,130345,Q,162194,6515,31883,6-6=0,131362,y,y,3327
1,028,False,training,130003,4,21,1,136641,C,136712,C,164530,8851,27850,8-1=7,137729,y,y,3248
2,028,False,training,130003,4,21,1,142999,M,143029,NA,NA,NA,NA,9-9=1,144045,n,n,3173
3,028,False,training,130003,4,21,1,149308,T,149346,NA,NA,NA,NA,7+4=11,150362,y,NA,NA
4,028,False,training,184147,4,21,1,184420,G,184462,G,214562,4849,30133,1+5=6,185479,y,y,1946
5,028,False,training,184147,4,21,1,190756,V,190795,V,214930,5217,24167,7-6=1,191812,y,y,1982
6,028,False,training,184147,4,21,1,197082,P,197095,P,215570,5857,18500,1+3=2,198112,n,NA,NA
7,028,False,training,184147,4,21,1,203380,D,203396,NA,NA,NA,NA,9-5=3,204412,n,y,2359
8,028,False,training,216427,4,21,1,216722,M,216762,G,248259,6162,31533,2+1=0,217779,n,n,2751
9,028,False,training,216427,4,21,1,223049,L,223096,V,249746,7649,26683,5-5=1,224112,n,n,2257
10,028,False,training,216427,4,21,1,229377,K,229429,M,253587,11490,24183,1+3=2,230446,n,n,3475
11,028,False,training,216427,4,21,1,235712,W,235762,NA,NA,NA,NA,6-4=1,236779,n,n,2888
12,028,False,training,254134,4,21,1,254422,F,254462,X,286226,6496,31817,4-3=2,255479,n,n,2874
13,028,False,training,254134,4,21,1,260741,N,260779,X,286675,6945,25933,6+3=8,261796,n,n,3085
14,028,False,training,254134,4,21,1,267065,T,267097,X,286913,7183,19849,9+9=17,268112,n,n,1538
15,028,False,training,254134,4,21,1,273379,G,273412,NA,NA,NA,NA,7+8=15,274429,y,n,1637
16,028,False,training,287899,4,21,1,288202,Z,288229,W,319874,6327,31683,8+1=7,289246,n,n,2948
17,028,False,training,287899,4,21,1,294519,R,294579,G,322595,9048,28050,7-4=2,295596,n,n,2391
18,028,False,training,287899,4,21,1,300860,W,300896,NA,NA,NA,NA,2+9=12,301912,n,n,2699
19,028,False,training,287899,4,21,1,307184,V,307229,NA,NA,NA,NA,6-4=1,308246,n,n,2413
20,028,False,training,334134,4,21,1,334404,C,334429,C,367186,7489,32785,4-4=0,335446,y,y,2092
21,028,False,training,334134,4,21,1,340724,N,340762,S,368209,8512,27483,9+8=16,341779,n,n,2303
22,028,False,training,334134,4,21,1,347046,B,347079,NA,NA,NA,NA,9-4=5,348096,y,NA,NA
23,028,False,training,334134,4,21,1,353365,S,353396,NA,NA,NA,NA,8+4=13,354412,n,NA,NA
24,028,False,training,375884,4,21,1,376157,L,376196,J,405250,3819,29083,8-6=3,377212,n,n,2533
25,028,False,training,375884,4,21,1,382481,T,382496,X,407715,6284,25250,3-2=2,383513,n,n,1801
26,028,False,training,375884,4,21,1,388781,V,388796,X,407857,6426,19085,7+9=18,389812,n,n,1774
