,name,random,block_num,block_exp_time,block_load,block_settings,trial_num,trial_exp_time,pres_letter,letter_pres_exp_time,answ_letter,letter_answ_exp_time,letter_react_time,letter_memory_time,pres_eq,eq_pres_exp_time,eq_truthvalue,truth_given,truth_react_time
0,004,False,training,205456,4,21,1,205736,C,205778,C,234686,3776,28932,5+1=6,206783,y,NA,NA
1,004,False,training,205456,4,21,1,212044,K,212064,K,237454,6544,25413,9+7=15,213068,n,NA,NA
2,004,False,training,205456,4,21,1,218329,J,218347,J,244190,13280,25867,7+9=18,219351,n,NA,NA
3,004,False,training,205456,4,21,1,224612,T,224624,NA,NA,NA,NA,1+6=5,225629,n,NA,NA
4,004,False,training,279352,4,21,1,279637,V,279649,V,307326,2496,27702,7+1=9,280654,n,n,2015
5,004,False,training,279352,4,21,1,285919,P,285947,P,307823,2993,21901,7-6=0,286952,n,n,1655
6,004,False,training,279352,4,21,1,292214,M,292261,M,308287,3457,16050,4+3=7,293266,y,y,1964
7,004,False,training,279352,4,21,1,298528,Q,298552,T,309150,4320,10623,9+8=17,299557,y,n,2042
8,004,False,training,329848,4,21,1,330126,N,330140,N,357199,1826,27083,1+4=5,331144,y,y,1703
9,004,False,training,329848,4,21,1,336404,L,336464,L,358126,2753,21687,1+7=8,337514,y,y,1187
10,004,False,training,329848,4,21,1,342795,W,342820,W,358765,3392,15970,8+5=14,343823,n,n,3152
11,004,False,training,329848,4,21,1,349084,J,349096,J,359646,4273,10574,5+2=6,350101,n,n,1978
12,004,False,training,361331,4,21,1,361622,K,361652,K,389279,2508,27652,4-3=1,362656,y,y,2318
13,004,False,training,361331,4,21,1,367918,H,367938,H,390799,4028,22884,4+2=6,368943,y,y,1503
14,004,False,training,361331,4,21,1,374205,T,374217,T,391277,4506,17085,9-4=6,375221,n,n,1674
15,004,False,training,361331,4,21,1,380482,V,380494,V,391662,4891,11193,7+6=14,381498,n,n,1765
16,004,False,training,392499,4,21,1,392793,Q,392821,K,419885,1954,27089,5-4=1,393825,y,y,1598
17,004,False,training,392499,4,21,1,399086,J,399098,J,421582,3651,22508,8-3=5,400103,y,n,1591
18,004,False,training,392499,4,21,1,405365,G,405377,T,423342,5411,17989,8+1=7,406381,n,n,1968
19,004,False,training,392499,4,21,1,411642,L,411654,L,424446,6515,12816,6-2=6,412658,n,n,2061
20,004,False,training,438101,4,21,1,438371,M,438383,M,465453,1945,27094,7+6=14,439389,n,n,2785
21,004,False,training,438101,4,21,1,444650,D,444662,D,466382,2874,21744,2+3=5,445666,y,y,1436
22,004,False,training,438101,4,21,1,450927,W,450939,W,467022,3514,16108,2+2=4,451948,y,y,1347
23,004,False,training,438101,4,21,1,457209,Z,457230,Z,467278,3770,10074,7+5=11,458234,n,n,2532
24,004,False,training,467747,4,21,1,468030,L,468043,L,495070,1894,27051,5-1=5,469047,n,n,1527
25,004,False,training,467747,4,21,1,474311,Q,474340,Q,496062,2886,21747,9-8=2,475344,n,n,1870
26,004,False,training,467747,4,21,1,480606,V,480618,V,496494,3318,15900,5-4=0,481623,n,n,1528
27,004,False,training,467747,4,21,1,486884,H,486896,H,496797,3621,9925,7-4=2,487901,n,y,2129
28,004,False,training,503953,4,21,1,504234,K,504247,K,530399,1032,26176,6+1=5,505251,n,n,1594
29,004,False,training,503953,4,21,1,510514,S,510534,S,530813,1446,20304,4+6=11,511538,n,n,2813
30,004,False,training,503953,4,21,1,516800,B,516812,B,531103,1736,14315,7+8=16,517816,n,n,1622
31,004,False,training,503953,4,21,1,523077,G,523089,G,532607,3240,9542,4+7=10,524094,n,n,2065
32,004,False,training,544341,4,21,1,544616,Q,544650,Q,571583,1812,26957,4+7=11,545655,y,y,1687
33,004,False,training,544341,4,21,1,550917,R,550937,R,572335,2564,21422,3+5=8,551941,y,y,1706
34,004,False,training,544341,4,21,1,557203,Z,557215,Z,572847,3076,15657,7-3=5,558220,n,n,2097
35,004,False,training,544341,4,21,1,563481,C,563493,C,573103,3332,9634,7+2=9,564498,y,y,1451
36,004,False,training,573588,4,21,1,573873,T,573886,Z,600479,1479,26617,4+7=11,574891,y,y,2371
37,004,False,training,573588,4,21,1,580154,L,580166,S,601006,2006,20865,6+5=11,581170,y,y,2667
38,004,False,training,573588,4,21,1,586432,W,586444,W,601325,2325,14905,9+5=16,587449,n,n,2373
39,004,False,training,573588,4,21,1,592711,N,592723,N,601677,2677,8979,4+4=9,593727,n,n,1758
40,004,False,training,609286,4,21,1,609571,M,609600,M,637870,3149,28295,4-4=0,610604,y,y,1666
41,004,False,training,609286,4,21,1,615867,F,615886,F,638894,4173,23032,9-1=9,616890,n,n,1316
42,004,False,training,609286,4,21,1,622152,V,622164,V,639421,4700,17282,7-6=1,623168,y,y,2318
43,004,False,training,609286,4,21,1,628430,D,628442,D,640063,5342,11645,9-7=2,629448,y,y,1846
44,004,False,0,681363,5,30,1,681672,C,681684,C,717918,1095,36257,4+8=12,682689,y,y,2686
