,name,random,block_num,block_exp_time,block_load,block_settings,trial_num,trial_exp_time,pres_letter,letter_pres_exp_time,answ_letter,letter_answ_exp_time,letter_react_time,letter_memory_time,pres_eq,eq_pres_exp_time,eq_truthvalue,truth_given,truth_react_time
0,036,False,training,127325,4,21,1,127605,K,127638,K,159374,6452,31767,5+3=8,128655,y,y,1821
1,036,False,training,127325,4,21,1,133920,W,133938,W,159774,6852,25867,9-7=2,134955,y,y,2418
2,036,False,training,127325,4,21,1,140223,R,140255,R,160270,7348,20050,4+8=12,141272,y,y,2500
3,036,False,training,127325,4,21,1,146543,J,146605,J,160765,7843,14201,6+5=11,147622,y,y,2502
4,036,False,training,161990,4,21,1,162280,N,162322,N,189436,1864,27150,8+2=10,163338,y,y,2100
5,036,False,training,161990,4,21,1,168609,V,168638,V,189885,2313,21284,4+2=5,169655,n,n,1959
6,036,False,training,161990,4,21,1,174918,C,174955,C,190445,2873,15517,2+3=4,175972,n,n,2825
7,036,False,training,161990,4,21,1,181235,H,181255,H,191198,3626,9967,8+3=10,182272,n,n,1390
8,036,False,training,200427,4,21,1,200694,S,200722,S,227438,1399,26750,7+6=13,201738,y,y,2739
9,036,False,training,200427,4,21,1,207004,Q,207055,Q,227773,1734,20750,3+8=12,208072,n,n,1733
10,036,False,training,200427,4,21,1,213342,D,213389,D,228349,2310,14984,8+7=16,214405,n,n,3624
11,036,False,training,200427,4,21,1,219669,R,219705,R,228590,2551,8917,5-3=3,220722,n,n,1148
12,036,False,training,229015,4,21,1,229315,Z,229339,Z,256109,1503,26800,8+4=12,230355,y,y,2331
13,036,False,training,229015,4,21,1,235628,H,235672,H,256525,1919,20883,5-1=4,236689,y,y,1309
14,036,False,training,229015,4,21,1,241951,L,241989,L,257132,2526,15183,2+5=8,243005,n,n,2048
15,036,False,training,229015,4,21,1,248276,T,248289,T,259053,4447,10799,8+2=10,249305,y,y,1973
16,036,False,0,274688,5,20,1,274983,K,275006,K,302206,1833,27233,1+5=6,276022,y,y,1511
17,036,False,0,274688,5,20,1,280048,Q,280089,Q,303037,2664,22984,6+9=14,281105,y,n,1932
18,036,False,0,274688,5,20,1,285127,S,285172,S,303325,2952,18183,7+7=13,286189,n,n,1376
19,036,False,0,274688,5,20,1,290202,F,290255,F,303774,3401,13550,3+1=4,291272,y,y,1301
20,036,False,0,274688,5,20,1,295291,B,295322,B,304781,4408,9483,5+2=7,296339,y,y,2187
21,036,False,0,274688,5,20,2,305617,P,305655,P,332381,1391,26750,2+9=12,306672,n,n,2269
22,036,False,0,274688,5,20,2,310691,G,310739,G,332989,1999,22284,9-4=6,311755,n,NA,NA
23,036,False,0,274688,5,20,2,315778,H,315806,H,333293,2303,17517,3+4=8,316822,n,n,2934
24,036,False,0,274688,5,20,2,320841,C,320855,C,333677,2687,12850,7+3=10,321872,y,y,1149
25,036,False,0,274688,5,20,2,325893,N,325922,N,334045,3055,8150,2+3=4,326939,n,n,1329
26,036,False,0,274688,5,20,3,334734,V,334772,V,362206,2066,27467,1+5=4,335789,n,y,1760
27,036,False,0,274688,5,20,3,339815,Z,339839,Z,362893,2753,23083,7+5=12,340856,y,NA,NA
28,036,False,0,274688,5,20,3,344878,T,344922,T,363278,3138,18383,8+7=15,345939,y,y,2218
29,036,False,0,274688,5,20,3,349959,R,349989,R,363757,3617,13800,7+1=8,351006,y,y,1072
30,036,False,0,274688,5,20,3,355021,K,355056,K,364846,4706,9817,9+4=15,356072,n,n,1861
31,036,False,0,274688,5,20,4,370984,H,371022,X,401357,4950,30384,8+7=16,372039,n,NA,NA
32,036,False,0,274688,5,20,4,376061,S,376106,H,402317,5910,26234,9+2=12,377122,n,NA,NA
33,036,False,0,274688,5,20,4,381145,N,381189,N,402670,6263,21517,8-1=7,382206,y,y,1872
34,036,False,0,274688,5,20,4,386222,F,386256,F,403837,7430,17617,8-7=1,387272,y,n,2134
35,036,False,0,274688,5,20,4,391293,W,391339,W,404637,8230,13333,9+9=17,392356,n,n,1418
36,036,False,1,419630,5,30,1,419916,B,419956,B,456830,1490,36900,5-1=5,420973,n,n,1120
37,036,False,1,419630,5,30,1,426990,G,427039,G,457053,1713,30050,4+7=11,428056,y,n,1046
38,036,False,1,419630,5,30,1,434082,T,434123,T,457485,2145,23400,9+8=17,435139,y,y,2714
39,036,False,1,419630,5,30,1,441163,V,441206,V,458302,2962,17134,5+2=6,442223,n,n,1167
40,036,False,1,419630,5,30,1,448243,L,448289,L,458973,3633,10717,6+5=11,449306,y,y,1587
41,036,False,1,419630,5,30,2,463917,D,463956,B,501070,1813,37150,9-7=3,464973,n,NA,NA
42,036,False,1,419630,5,30,2,470991,P,471007,P,501726,2469,30750,6+9=14,472023,y,n,1863
43,036,False,1,419630,5,30,2,478046,S,478073,S,503038,3781,25000,9+3=13,479089,n,n,2397
44,036,False,1,419630,5,30,2,485111,R,485124,R,503374,4117,18283,2+1=0,486139,n,n,819
45,036,False,1,419630,5,30,2,492158,C,492190,C,503694,4437,11533,5-4=0,493206,n,n,2007
46,036,False,1,419630,5,30,3,507864,H,507890,H,544718,1494,36851,9-3=6,508906,y,y,1604
47,036,False,1,419630,5,30,3,514922,M,514973,M,545422,2198,30483,6-5=2,515990,n,n,1799
48,036,False,1,419630,5,30,3,522012,B,522056,B,546062,2838,24034,9-6=2,523073,n,NA,NA
49,036,False,1,419630,5,30,3,529091,L,529106,L,546350,3126,17268,2+5=7,530123,y,y,1522
50,036,False,1,419630,5,30,3,536139,G,536173,J,547101,3877,10967,9+4=15,537190,n,n,2856
51,036,False,1,419630,5,30,4,548547,T,548573,T,585134,1243,36600,1+6=5,549590,n,n,3399
52,036,False,1,419630,5,30,4,555610,W,555624,W,585646,1755,30050,4+9=14,556640,n,n,2734
53,036,False,1,419630,5,30,4,562661,Q,562708,Q,587182,3291,31583,8-3=6,563723,n,n,2178
54,036,False,1,419630,5,30,4,569748,D,569773,D,587853,3962,25182,7-1=7,570790,n,n,1208
55,036,False,1,419630,5,30,4,576804,Z,576840,Z,588286,4395,18550,3-2=2,577857,n,n,1757
56,036,False,2,621485,5,20,1,621783,S,621807,S,588765,4874,11950,2+2=5,622823,n,n,1238
57,036,False,2,621485,5,20,1,626841,H,626873,H,650093,2986,28317,1+7=8,627890,y,y,1292
58,036,False,2,621485,5,20,1,631901,C,631924,C,650383,3276,23534,9-8=2,632940,n,n,1505
59,036,False,2,621485,5,20,1,636956,M,636974,M,650781,3674,18883,9+3=13,637990,n,n,936
60,036,False,2,621485,5,20,1,642007,F,642024,F,651629,4522,14683,6+8=13,643040,y,n,3182
61,036,False,2,621485,5,20,2,653214,P,653240,P,652190,5083,10200,1+1=2,654257,y,y,1261
62,036,False,2,621485,5,20,2,658283,V,658324,V,681470,2912,28267,3+3=6,659340,y,y,1106
