,name,random,block_num,block_exp_time,block_load,block_settings,trial_num,trial_exp_time,pres_letter,letter_pres_exp_time,answ_letter,letter_answ_exp_time,letter_react_time,letter_memory_time,pres_eq,eq_pres_exp_time,eq_truthvalue,truth_given,truth_react_time
0,020,False,training,203533,4,21,1,203812,V,203878,X,233547,4435,29700,4+5=9,204894,y,NA,NA
1,020,False,training,203533,4,21,1,210163,Q,210194,V,238812,9700,28650,2-2=1,211211,n,NA,NA
2,020,False,training,203533,4,21,1,216478,F,216494,NA,NA,NA,NA,7+5=12,217511,y,n,2516
3,020,False,training,203533,4,21,1,222780,Z,222794,NA,NA,NA,NA,3+2=4,223811,n,n,1657
4,020,False,training,261932,4,21,1,262217,S,262278,H,291338,3809,29090,8+3=10,263294,n,NA,NA
5,020,False,training,261932,4,21,1,268563,D,268594,M,294220,6691,25650,2+3=4,269611,n,n,1537
6,020,False,training,261932,4,21,1,274877,H,274894,P,298044,10515,23183,4+2=5,275911,n,n,1604
7,020,False,training,261932,4,21,1,281177,M,281211,NA,NA,NA,NA,4+5=9,282228,y,y,1576
8,020,False,training,332864,4,21,1,333135,C,333178,C,359916,1471,26750,7-3=5,334194,n,n,1993
9,020,False,training,332864,4,21,1,339456,K,339494,K,360460,2015,21000,5-3=2,340511,y,y,2093
10,020,False,training,332864,4,21,1,345771,G,345795,G,362219,3774,16450,4+3=6,346811,n,n,1552
11,020,False,training,332864,4,21,1,352081,P,352128,P,362523,4078,10417,7+3=9,353144,n,y,2371
12,020,False,training,375265,4,21,1,375537,R,375595,R,403003,2208,27433,3+7=10,376611,y,y,1737
13,020,False,training,375265,4,21,1,381876,S,381895,K,403372,2577,21500,8+6=14,382911,y,y,3340
14,020,False,training,375265,4,21,1,388174,J,388195,J,403867,3072,15700,6-6=0,389211,y,y,2401
15,020,False,training,375265,4,21,1,394479,W,394495,P,405181,4386,17017,3+8=12,395511,n,n,3957
16,020,False,training,423249,4,21,1,423536,L,423561,L,405388,4593,10918,9-5=3,424578,n,y,1690
17,020,False,training,423249,4,21,1,429840,D,429861,D,453692,4896,30167,3-3=0,430878,y,y,1277
18,020,False,training,423249,4,21,1,436153,C,436178,NA,456635,7839,33100,8+9=19,437195,n,n,2672
19,020,False,training,423249,4,21,1,442459,V,442495,NA,457018,8222,27167,6+7=14,443511,n,n,2788
20,020,False,training,467481,4,21,1,467755,R,467795,X,NA,NA,NA,5+9=14,468811,y,n,3633
21,020,False,training,467481,4,21,1,474082,P,474095,P,NA,NA,NA,8+5=14,475111,n,n,2853
22,020,False,training,467481,4,21,1,480377,N,480396,N,494683,1687,26917,1+7=8,481412,y,y,1352
23,020,False,training,467481,4,21,1,486678,Z,486695,Z,495468,2472,21400,5+5=10,487712,y,y,1484
24,020,False,training,506781,4,21,1,507072,L,507112,L,496091,3095,15733,4+7=10,508128,n,n,1884
25,020,False,training,506781,4,21,1,513399,B,513445,B,496572,3576,9900,4+8=12,514462,y,y,3406
26,020,False,training,506781,4,21,1,519726,F,519745,F,533627,1264,26550,7+1=9,520762,n,n,1426
27,020,False,training,506781,4,21,1,526038,H,526062,H,534013,1650,20600,3+9=13,527078,n,n,2070
28,020,False,training,536339,4,21,1,536633,R,536646,X,535052,2689,15333,5-5=0,537662,y,y,3277
29,020,False,training,536339,4,21,1,542936,P,542962,L,535451,3088,9417,3+4=7,543978,y,n,2400
30,020,False,training,536339,4,21,1,549246,Q,549262,X,565356,3493,28749,6+9=16,550278,n,NA,NA
31,020,False,training,536339,4,21,1,555547,J,555562,NA,567260,5397,24333,2+2=4,556579,y,y,1448
32,020,False,training,585799,4,21,1,586068,W,586095,W,571307,9444,22083,2+7=9,587112,y,y,2131
33,020,False,training,585799,4,21,1,592383,D,592413,D,NA,NA,NA,3+1=2,593429,n,n,1255
34,020,False,training,585799,4,21,1,598694,B,598712,B,612939,1626,26868,3+1=4,599729,y,y,1371
35,020,False,training,585799,4,21,1,604993,M,605012,M,613308,1995,20932,4+5=9,606029,y,y,1551
36,020,False,training,619984,4,21,1,620268,P,620295,X,613756,2443,15067,4+9=14,621312,n,y,3356
37,020,False,training,619984,4,21,1,626576,R,626596,X,614203,2890,9216,9+3=13,627612,n,n,2223
38,020,False,training,619984,4,21,1,632875,N,632895,N,648236,2740,27950,7-6=1,633912,y,NA,NA
39,020,False,training,619984,4,21,1,639181,K,639195,K,648380,2884,21817,2+2=5,640212,n,n,1784
40,020,False,training,650308,4,21,1,650606,J,650629,J,649083,3587,16217,3+6=8,651645,n,n,2143
41,020,False,training,650308,4,21,1,656923,H,656962,H,649611,4115,10450,6-2=6,657979,n,n,3040
42,020,False,training,650308,4,21,1,663241,Z,663262,Z,677052,1156,26450,4+8=12,664279,y,y,2580
43,020,False,training,650308,4,21,1,669551,M,669579,M,677595,1699,20667,6+1=7,670595,y,y,1880
44,020,False,0,710717,5,20,1,711019,B,711046,B,678332,2436,15100,6-5=2,712062,n,n,2190
45,020,False,0,710717,5,20,1,716075,S,716096,R,678876,2980,9333,1+3=2,717112,n,n,1971
46,020,False,0,710717,5,20,1,721127,F,721146,S,738076,1746,27067,1-1=1,722162,n,n,2410
47,020,False,0,710717,5,20,1,726174,N,726212,N,738555,2225,22483,9+8=16,727229,n,n,2766
48,020,False,0,710717,5,20,1,731249,R,731279,NA,738732,2402,17617,6-3=4,732296,n,n,2787
49,020,False,0,710717,5,20,2,740223,H,740263,H,739468,3138,13283,9-9=0,741279,y,y,1390
50,020,False,0,710717,5,20,2,745292,M,745312,M,NA,NA,NA,5+3=7,746329,n,n,2194
