,name,random,block_num,block_exp_time,block_load,block_settings,trial_num,trial_exp_time,pres_letter,letter_pres_exp_time,answ_letter,letter_answ_exp_time,letter_react_time,letter_memory_time,pres_eq,eq_pres_exp_time,eq_truthvalue,truth_given,truth_react_time
0,012,False,training,219709,4,21,1,220001,J,220033,J,247596,2262,27600,5-3=3,221049,n,n,1651
1,012,False,training,219709,4,21,1,226319,L,226383,L,248012,2678,21666,7-2=5,227399,y,y,1990
2,012,False,training,219709,4,21,1,232663,F,232699,F,248557,3223,15883,9+1=10,233716,y,y,2041
3,012,False,training,219709,4,21,1,238977,R,238999,R,248732,3398,9767,5-4=1,240016,y,y,1180
4,012,False,training,290537,4,21,1,290824,H,290849,H,321612,5462,30800,6-3=3,291866,y,y,1779
5,012,False,training,290537,4,21,1,297141,K,297166,K,322092,5942,24950,6+8=13,298183,y,n,3366
6,012,False,training,290537,4,21,1,303453,Z,303483,F,323884,7734,20433,8+3=10,304499,n,n,1673
7,012,False,training,290537,4,21,1,309764,C,309816,C,324188,8038,14400,8-2=6,310833,y,y,1115
8,012,False,training,324738,4,21,1,325008,W,325066,W,354828,4493,29800,4+1=5,326083,y,y,1689
9,012,False,training,324738,4,21,1,331347,Q,331383,R,355229,4894,23883,5+6=10,332399,n,n,1342
10,012,False,training,324738,4,21,1,337659,R,337683,B,355453,5118,17800,8+4=12,338700,y,y,1761
11,012,False,training,324738,4,21,1,343975,B,344016,NA,NA,NA,NA,1+3=4,345033,y,y,883
12,012,False,training,358421,4,21,1,358710,F,358750,M,388988,4971,30267,7+9=16,359766,y,y,2278
13,012,False,training,358421,4,21,1,365040,M,365083,P,389660,5643,24601,9+6=16,366100,n,n,1880
14,012,False,training,358421,4,21,1,371371,P,371384,N,390429,6412,19083,1+8=9,372400,y,y,1436
15,012,False,training,358421,4,21,1,377667,N,377700,X,391341,7324,13683,8-6=2,378716,y,y,2641
16,012,False,training,400804,4,21,1,401089,D,401116,D,429197,2846,28117,7-6=0,402133,n,n,2279
17,012,False,training,400804,4,21,1,407406,Q,407433,Q,430300,3949,22900,3+6=8,408450,n,n,2522
18,012,False,training,400804,4,21,1,413715,W,413750,W,431804,5453,18083,6+3=8,414766,n,n,1438
19,012,False,training,400804,4,21,1,420031,T,420050,M,433325,6974,13300,6-3=4,421066,n,n,1891
20,012,False,0,481470,5,30,1,481773,K,481800,K,519853,2752,38067,5+4=9,482817,y,y,2298
21,012,False,0,481470,5,30,1,488837,P,488850,P,520317,3216,31500,6+3=8,489867,n,n,1330
22,012,False,0,481470,5,30,1,495888,G,495917,G,521165,4064,25283,5+6=10,496933,n,n,1064
23,012,False,0,481470,5,30,1,502954,H,502967,H,521356,4255,18417,5+8=14,503983,n,n,1918
24,012,False,0,481470,5,30,1,510000,L,510017,L,521820,4719,11833,5+2=6,511033,n,n,1828
25,012,False,0,481470,5,30,2,555272,N,555284,N,594508,3890,39249,8-5=3,556300,y,y,2305
26,012,False,0,481470,5,30,2,562316,M,562350,M,595181,4563,32867,4+3=7,563367,y,y,1349
27,012,False,0,481470,5,30,2,569387,Q,569400,Q,596813,6195,27450,4-4=0,570417,y,y,2011
28,012,False,0,481470,5,30,2,576443,J,576483,J,597229,6611,20783,2-2=0,577500,y,y,1280
29,012,False,0,481470,5,30,2,583523,T,583550,T,597565,6947,14050,8+6=15,584567,n,n,2021
30,012,False,0,481470,5,30,3,599827,P,599850,X,638732,3564,38917,3+9=13,600867,n,n,2632
31,012,False,0,481470,5,30,3,606888,C,606934,C,639421,4253,32517,9-6=2,607950,n,n,2398
32,012,False,0,481470,5,30,3,613972,D,613984,D,640061,4893,26100,5-1=5,615000,n,n,1909
33,012,False,0,481470,5,30,3,621012,G,621050,J,640621,5453,19600,3-3=0,622067,y,y,1177
34,012,False,0,481470,5,30,3,628093,B,628117,B,640876,5708,12783,9-9=1,629134,n,n,1807
35,012,False,0,481470,5,30,4,648594,F,648634,F,685853,1902,37250,8-7=1,649650,y,y,2073
36,012,False,0,481470,5,30,4,655662,L,655684,L,686909,2958,31250,6+9=14,656700,y,n,3281
37,012,False,0,481470,5,30,4,662723,M,662750,M,687180,3229,24467,9-6=3,663767,y,y,1556
38,012,False,0,481470,5,30,4,669780,K,669801,K,688012,4061,18233,1+9=10,670817,y,y,1771
39,012,False,0,481470,5,30,4,676834,T,676867,T,688349,4398,11500,9-8=1,677884,y,y,944
40,012,False,1,688817,5,20,1,689113,V,689150,X,718605,4153,29483,2+9=11,690167,y,y,1236
41,012,False,1,688817,5,20,1,694183,B,694200,Z,719212,4760,25035,5-5=0,695217,y,n,1099
42,012,False,1,688817,5,20,1,699237,Z,699250,G,720380,5928,21167,9-7=3,700267,n,NA,NA
43,012,False,1,688817,5,20,1,704289,G,704334,Z,721613,7161,17317,5+7=12,705350,y,n,3158
44,012,False,1,688817,5,20,1,709362,N,709384,X,723868,9416,14517,2+8=11,710401,n,n,3596
45,012,False,1,688817,5,20,2,724892,H,724917,H,751980,1778,27100,3-3=1,725934,n,n,1693
46,012,False,1,688817,5,20,2,729960,T,729984,T,752363,2161,22417,5+4=9,731001,y,y,1187
47,012,False,1,688817,5,20,2,735019,C,735050,C,753148,2946,18133,1+5=6,736067,y,y,889
48,012,False,1,688817,5,20,2,740080,J,740101,J,754156,3954,14083,3-1=1,741117,n,n,1839
49,012,False,1,688817,5,20,2,745131,K,745151,K,754331,4129,9217,3-2=2,746167,n,n,2005
50,012,False,1,688817,5,20,3,763524,Z,763551,Z,791500,2665,27983,3-1=2,764567,y,y,1701
51,012,False,1,688817,5,20,3,768585,Q,768601,K,792732,3897,24167,6-4=1,769617,n,y,972
52,012,False,1,688817,5,20,3,773631,W,773651,W,793772,4937,20150,8+5=14,774667,n,n,2305
53,012,False,1,688817,5,20,3,778682,G,778701,X,794701,5866,16033,6+5=11,779717,y,n,1799
54,012,False,1,688817,5,20,3,783740,M,783784,X,794844,6009,11084,2+1=0,784801,n,n,2922
55,012,False,1,688817,5,20,4,795479,N,795517,N,822636,1784,27150,4+4=8,796534,y,y,1046
56,012,False,1,688817,5,20,4,800557,B,800584,B,822956,2104,22400,4+9=14,801601,n,n,2331
57,012,False,1,688817,5,20,4,805624,P,805667,P,823501,2649,17867,9-3=6,806684,y,y,1073
58,012,False,1,688817,5,20,4,810698,S,810734,S,823868,3016,13167,4-2=3,811751,n,n,1988
59,012,False,1,688817,5,20,4,815764,T,815784,P,824156,3304,8400,1+2=3,816801,y,y,1259
60,012,False,2,864460,5,30,1,864757,Q,864784,Q,905132,5063,40383,7-5=2,865801,y,y,1603
