,name,random,block_num,block_exp_time,block_load,block_settings,trial_num,trial_exp_time,pres_letter,letter_pres_exp_time,answ_letter,letter_answ_exp_time,letter_react_time,letter_memory_time,pres_eq,eq_pres_exp_time,eq_truthvalue,truth_given,truth_react_time
0,011,False,training,89271,4,21,1,89555,P,89570,P,116646,1742,27100,7+8=16,90587,n,n,2186
1,011,False,training,89271,4,21,1,95855,R,95903,R,117125,2221,21250,2-1=2,96920,n,n,1997
2,011,False,training,89271,4,21,1,102194,Q,102253,Q,117669,2765,15450,9+8=17,103270,y,y,2799
3,011,False,training,89271,4,21,1,108542,K,108587,K,118613,3709,10050,9+8=16,109603,n,n,2691
4,011,False,training,133956,4,21,1,134226,H,134270,H,161173,1586,26933,2+1=3,135287,y,y,2335
5,011,False,training,133956,4,21,1,140557,N,140603,N,161653,2066,21083,9+8=17,141620,y,y,2273
6,011,False,training,133956,4,21,1,146885,C,146920,C,162292,2705,15400,4+3=7,147937,y,y,2277
7,011,False,training,133956,4,21,1,153214,G,153253,G,163190,3603,9967,9-9=0,154270,y,y,1544
8,011,False,training,164253,4,21,1,164549,T,164587,T,191510,1623,26950,9-5=3,165603,n,n,3538
9,011,False,training,164253,4,21,1,170869,M,170920,M,192245,2358,21350,2+4=6,171937,y,y,1571
10,011,False,training,164253,4,21,1,177204,W,177237,W,193301,3414,16100,6+2=8,178253,y,y,1592
11,011,False,training,164253,4,21,1,183516,P,183553,P,194308,4421,10783,9-3=6,184570,y,y,2331
12,011,False,training,242590,4,21,1,242881,G,242920,G,270149,1978,27267,7-2=7,243937,n,n,1572
13,011,False,training,242590,4,21,1,249201,H,249220,H,270564,2393,21367,9-4=6,250237,n,n,3112
14,011,False,training,242590,4,21,1,255512,J,255554,J,272662,4491,17133,7-4=3,256570,y,y,2139
15,011,False,training,242590,4,21,1,261835,Q,261870,Q,273685,5514,11850,7+8=16,262887,n,n,3023
16,011,False,0,293787,5,20,1,294082,R,294120,R,321253,1815,27167,8+4=12,295137,y,y,2420
17,011,False,0,293787,5,20,1,299153,M,299171,M,321653,2215,22516,9-2=7,300187,y,y,1930
18,011,False,0,293787,5,20,1,304212,N,304254,N,322214,2776,17983,1+6=5,305270,n,n,2031
19,011,False,0,293787,5,20,1,309291,T,309304,T,322854,3416,13583,4+2=5,310320,n,n,1878
20,011,False,0,293787,5,20,1,314344,C,314371,C,323620,4182,9267,8+3=11,315387,y,y,2955
21,011,False,0,293787,5,20,2,331378,Q,331404,Q,360004,3266,28633,1+1=0,332420,n,n,1696
22,011,False,0,293787,5,20,2,336427,G,336454,G,364581,7843,28151,2-1=1,337470,y,y,2231
