,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,020,training,1,1,['B3'],247549
1,020,training,1,3,['B3'],306014
2,020,training,1,5,['B1'],367248
3,020,training,1,5,"['B1', 'B3']",411531
4,020,training,1,3,['B3'],462931
5,020,training,1,5,['B1'],500782
6,020,training,1,NA,NA,NA
7,020,training,1,4,"['B3', 'B2']",577355
8,020,training,1,6,['B1'],616433
9,020,training,1,NA,NA,NA
10,020,training,1,5,['B3'],682282
11,020,0,1,NA,NA,NA
12,020,0,2,6,['B1'],772138
13,020,0,3,NA,NA,NA
14,020,0,4,6,['B1'],834299
15,020,1,1,5,"['B4', 'B2']",877833
16,020,1,2,5,['B1'],928283
17,020,1,3,NA,NA,NA
18,020,1,4,NA,NA,NA
19,020,2,1,NA,NA,NA
20,020,2,2,3,['B3'],1097367
21,020,2,3,5,['B1'],1131040
22,020,2,4,NA,NA,NA
23,020,3,1,4,['B2'],1208684
24,020,3,2,NA,NA,NA
25,020,3,3,NA,NA,NA
26,020,3,4,4,['B2'],1348651
27,020,4,1,5,['B2'],1402901
28,020,4,2,NA,NA,NA
29,020,4,3,NA,NA,NA
30,020,4,4,4,"['B2', 'B3']",1507185
31,020,5,1,NA,NA,NA
32,020,5,2,NA,NA,NA
33,020,5,3,3,['B2'],1641935
34,020,5,4,4,['B2'],1692819
35,020,6,1,NA,NA,NA
36,020,6,2,NA,NA,NA
37,020,6,3,4,"['B2', 'B3']",1819673
38,020,6,4,3,['B2'],1864386
39,020,7,1,3,['B2'],1910303
40,020,7,2,NA,NA,NA
41,020,7,3,NA,NA,NA
42,020,7,4,6,['B1'],2032887
43,020,8,1,4,['B2'],2082220
44,020,8,2,NA,NA,NA
45,020,8,3,NA,NA,NA
46,020,8,4,5,['B1'],2175587
47,020,9,1,5,['B2'],2222738
48,020,9,2,NA,NA,NA
49,020,9,3,5,['B1'],2306521
50,020,9,4,NA,NA,NA
51,020,10,1,5,['B1'],2390655
52,020,10,2,NA,NA,NA
53,020,10,3,NA,NA,NA
54,020,10,4,5,['B1'],2484472
55,020,11,1,3,['B3'],2527955
56,020,11,2,NA,NA,NA
57,020,11,3,5,"['B3', 'B2']",2614155
58,020,11,4,NA,NA,NA
