,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,035,training,1,NA,NA,NA
1,035,training,1,NA,NA,NA
2,035,training,1,6,['B1'],289750
3,035,training,1,6,['B1'],333345
4,035,0,1,NA,NA,NA
5,035,0,2,6,['B1'],434545
6,035,0,3,NA,NA,NA
7,035,0,4,6,['B1'],522029
8,035,1,1,6,['B1'],556046
9,035,1,2,NA,NA,NA
10,035,1,3,6,['B1'],619613
11,035,1,4,NA,NA,NA
12,035,2,1,NA,NA,NA
13,035,2,2,NA,NA,NA
14,035,2,3,5,['B1'],781980
15,035,2,4,6,['B1'],828430
16,035,3,1,NA,NA,NA
17,035,3,2,NA,NA,NA
18,035,3,3,6,['B1'],923430
19,035,3,4,6,['B1'],955180
20,035,4,1,6,['B1'],1009197
21,035,4,2,6,['B1'],1051847
22,035,4,3,NA,NA,NA
23,035,4,4,NA,NA,NA
24,035,5,1,6,['B1'],1161364
25,035,5,2,NA,NA,NA
26,035,5,3,NA,NA,NA
27,035,5,4,6,['B1'],1251814
28,035,6,1,NA,NA,NA
29,035,6,2,NA,NA,NA
30,035,6,3,4,['B4'],1390514
31,035,6,4,6,['B1'],1441231
32,035,7,1,NA,NA,NA
33,035,7,2,6,['B1'],1502448
34,035,7,3,NA,NA,NA
35,035,7,4,6,['B1'],1563765
36,035,8,1,6,['B1'],1618081
37,035,8,2,6,['B1'],1660365
38,035,8,3,NA,NA,NA
39,035,8,4,NA,NA,NA
40,035,9,1,6,['B1'],1775932
41,035,9,2,6,['B1'],1808248
42,035,9,3,NA,NA,NA
43,035,9,4,NA,NA,NA
44,035,10,1,6,['B1'],1920599
45,035,10,2,4,['B2'],1964332
46,035,10,3,NA,NA,NA
47,035,10,4,NA,NA,NA
48,035,11,1,NA,NA,NA
49,035,11,2,NA,NA,NA
50,035,11,3,3,['B3'],2139733
51,035,11,4,6,['B1'],2176291
