,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,040,training,1,NA,NA,NA
1,040,training,1,5,['B3'],229260
2,040,training,1,6,['B1'],294142
3,040,training,1,NA,NA,NA
4,040,training,1,NA,NA,NA
5,040,training,1,6,['B1'],392342
6,040,training,1,6,['B1'],428042
7,040,training,1,NA,NA,NA
8,040,training,1,6,['B1'],498160
9,040,training,1,NA,NA,NA
10,040,training,1,6,['B1'],560843
11,040,0,1,NA,NA,NA
12,040,0,2,NA,NA,NA
13,040,0,3,6,['B1'],700993
14,040,0,4,6,['B1'],746831
15,040,1,1,6,['B1'],782027
16,040,1,2,NA,NA,NA
17,040,1,3,6,['B1'],844744
18,040,1,4,NA,NA,NA
19,040,2,1,NA,NA,NA
20,040,2,2,6,['B1'],988428
21,040,2,3,6,['B1'],1032295
22,040,2,4,NA,NA,NA
23,040,3,1,6,['B1'],1104062
24,040,3,2,NA,NA,NA
25,040,3,3,6,['B1'],1168695
26,040,3,4,NA,NA,NA
27,040,4,1,NA,NA,NA
28,040,4,2,3,['B2'],1294646
29,040,4,3,NA,NA,NA
30,040,4,4,4,['B5'],1386280
31,040,5,1,NA,NA,NA
32,040,5,2,3,['B3'],1454413
33,040,5,3,NA,NA,NA
34,040,5,4,6,['B1'],1525197
35,040,6,1,NA,NA,NA
36,040,6,2,6,['B1'],1639847
37,040,6,3,6,['B1'],1683386
38,040,6,4,NA,NA,NA
39,040,7,1,6,['B1'],1756481
40,040,7,2,4,['B2'],1790148
41,040,7,3,NA,NA,NA
42,040,7,4,NA,NA,NA
43,040,8,1,4,['B2'],1906682
44,040,8,2,NA,NA,NA
45,040,8,3,2,['B5'],1991299
46,040,8,4,NA,NA,NA
47,040,9,1,NA,NA,NA
48,040,9,2,4,['B2'],2097233
49,040,9,3,5,['B3'],2131016
50,040,9,4,NA,NA,NA
51,040,10,1,3,['B4'],2218522
52,040,10,2,NA,NA,NA
53,040,10,3,3,['B4'],2303583
54,040,10,4,NA,NA,NA
55,040,11,1,NA,NA,NA
56,040,11,2,3,['B2'],2413402
57,040,11,3,3,['B3'],2447667
58,040,11,4,NA,NA,NA
