,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,027,training,1,1,['B4'],417695
1,027,training,1,3,['B3'],474291
2,027,training,1,5,"['B2', 'B3']",523907
3,027,training,1,NA,NA,NA
4,027,training,1,6,['B1'],619291
5,027,0,1,6,['B1'],710758
6,027,0,2,6,['B1'],766891
7,027,0,3,NA,NA,NA
8,027,0,4,NA,NA,NA
9,027,1,1,1,['B1'],886812
10,027,1,2,NA,NA,NA
11,027,1,3,NA,NA,NA
12,027,1,4,3,['B2'],1005381
13,027,2,1,NA,NA,NA
14,027,2,2,6,['B1'],1138492
15,027,2,3,NA,NA,NA
16,027,2,4,6,['B1'],1225543
17,027,3,1,NA,NA,NA
18,027,3,2,4,['B2'],1304242
19,027,3,3,4,['B2'],1350592
20,027,3,4,NA,NA,NA
21,027,4,1,NA,NA,NA
22,027,4,2,1,['B2'],1549210
23,027,4,3,5,['B2'],1610726
24,027,4,4,NA,NA,NA
25,027,5,1,NA,NA,NA
26,027,5,2,6,['B1'],1745376
27,027,5,3,NA,NA,NA
28,027,5,4,6,['B1'],1813910
29,027,6,1,6,['B1'],1872894
30,027,6,2,5,['B1'],1923100
31,027,6,3,NA,NA,NA
32,027,6,4,NA,NA,NA
33,027,7,1,NA,NA,NA
34,027,7,2,NA,NA,NA
35,027,7,3,4,"['B2', 'B1']",2116668
36,027,7,4,6,['B1'],2168528
37,027,8,1,6,"['B2', 'B1']",2238111
38,027,8,2,6,['B1'],2285995
39,027,8,3,NA,NA,NA
40,027,8,4,NA,NA,NA
41,027,9,1,NA,NA,NA
42,027,9,2,NA,NA,NA
43,027,9,3,6,['B1'],2479512
44,027,9,4,6,"['B1', 'B2']",2542246
45,027,10,1,6,['B1'],2606886
46,027,10,2,NA,NA,NA
47,027,10,3,NA,NA,NA
48,027,10,4,4,['B2'],2738402
49,027,11,1,NA,NA,NA
50,027,11,2,6,['B1'],2802369
51,027,11,3,5,"['B2', 'B1']",2840713
52,027,11,4,NA,NA,NA
