,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,033,training,1,5,['B1'],234643
1,033,training,1,3,['B3'],282297
2,033,training,1,4,['B3'],336231
3,033,training,1,NA,NA,NA
4,033,training,1,5,['B1'],411026
5,033,training,1,5,['B1'],451526
6,033,training,1,NA,NA,NA
7,033,training,1,NA,NA,NA
8,033,training,1,NA,NA,NA
9,033,training,1,2,['B3'],580264
10,033,training,1,NA,NA,NA
11,033,0,1,NA,NA,NA
12,033,0,2,2,['B3'],724093
13,033,0,3,5,['B1'],774293
14,033,0,4,NA,NA,NA
15,033,1,1,NA,NA,NA
16,033,1,2,2,['B3'],883743
17,033,1,3,1,['B2'],926527
18,033,1,4,NA,NA,NA
19,033,2,1,NA,NA,NA
20,033,2,2,3,['B3'],1058644
21,033,2,3,5,['B1'],1107950
22,033,2,4,NA,NA,NA
23,033,3,1,1,['B2'],1195297
24,033,3,2,NA,NA,NA
25,033,3,3,NA,NA,NA
26,033,3,4,1,['B3'],1311395
27,033,4,1,5,['B1'],1375678
28,033,4,2,NA,NA,NA
29,033,4,3,5,['B1'],1463263
30,033,4,4,NA,NA,NA
31,033,5,1,NA,NA,NA
32,033,5,2,NA,NA,NA
33,033,5,3,1,['B3'],1609045
34,033,5,4,5,['B1'],1646662
35,033,6,1,5,['B1'],1706863
36,033,6,2,5,['B1'],1753929
37,033,6,3,NA,NA,NA
38,033,6,4,NA,NA,NA
39,033,7,1,2,['B2'],1888698
40,033,7,2,2,['B4'],1931496
41,033,7,3,NA,NA,NA
42,033,7,4,NA,NA,NA
43,033,8,1,5,['B1'],2061330
44,033,8,2,NA,NA,NA
45,033,8,3,NA,NA,NA
46,033,8,4,2,['B2'],2205414
47,033,9,1,NA,NA,NA
48,033,9,2,NA,NA,NA
49,033,9,3,2,['B4'],2314649
50,033,9,4,3,['B3'],2359420
51,033,10,1,5,['B1'],2419036
52,033,10,2,2,['B4'],2467582
53,033,10,3,NA,NA,NA
54,033,10,4,NA,NA,NA
55,033,11,1,2,['B2'],2588098
56,033,11,2,3,['B4'],2627199
57,033,11,3,NA,NA,NA
58,033,11,4,NA,NA,NA
