,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,008,training,1,NA,NA,NA
1,008,training,1,6,['B1'],232013
2,008,training,1,6,['B1'],290228
3,008,training,1,NA,NA,NA
4,008,training,1,NA,NA,NA
5,008,0,1,6,['B1'],426961
6,008,0,2,NA,NA,NA
7,008,0,3,6,['B1'],501152
8,008,0,4,NA,NA,NA
9,008,1,1,6,['B1'],581868
10,008,1,2,6,['B1'],629934
11,008,1,3,NA,NA,NA
12,008,1,4,NA,NA,NA
13,008,2,1,6,['B1'],776312
14,008,2,2,6,['B1'],811653
15,008,2,3,NA,NA,NA
16,008,2,4,NA,NA,NA
17,008,3,1,NA,NA,NA
18,008,3,2,NA,NA,NA
19,008,3,3,6,['B1'],1018580
20,008,3,4,4,['B4'],1067230
21,008,4,1,6,['B1'],1133014
22,008,4,2,NA,NA,NA
23,008,4,3,NA,NA,NA
24,008,4,4,4,['B3'],1236870
25,008,5,1,6,['B1'],1297286
26,008,5,2,6,['B1'],1342581
27,008,5,3,NA,NA,NA
28,008,5,4,NA,NA,NA
29,008,6,1,6,['B1'],1478581
30,008,6,2,6,['B1'],1521869
31,008,6,3,NA,NA,NA
32,008,6,4,NA,NA,NA
33,008,7,1,6,['B1'],1637182
34,008,7,2,NA,NA,NA
35,008,7,3,NA,NA,NA
36,008,7,4,6,['B1'],1770972
37,008,8,1,NA,NA,NA
38,008,8,2,6,['B1'],1858405
39,008,8,3,6,['B1'],1895783
40,008,8,4,NA,NA,NA
41,008,9,1,NA,NA,NA
42,008,9,2,6,['B1'],2020450
43,008,9,3,4,['B4'],2069766
44,008,9,4,NA,NA,NA
45,008,10,1,4,['B4'],2190766
46,008,10,2,NA,NA,NA
47,008,10,3,NA,NA,NA
48,008,10,4,4,['B4'],2303067
49,008,11,1,NA,NA,NA
50,008,11,2,6,['B1'],2403834
51,008,11,3,6,['B1'],2448784
52,008,11,4,NA,NA,NA
