,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,023,training,1,NA,NA,NA
1,023,training,1,5,"['B3', 'B1']",195270
2,023,training,1,NA,NA,NA
3,023,training,1,NA,NA,NA
4,023,training,1,5,"['B4', 'B3']",311719
5,023,training,1,5,"['B3', 'B1']",354941
6,023,training,1,5,"['B1', 'B3']",396602
7,023,training,1,NA,NA,NA
8,023,training,1,NA,NA,NA
9,023,training,1,NA,NA,NA
10,023,training,1,3,"['B4', 'B3']",522088
11,023,0,1,5,"['B1', 'B3']",578920
12,023,0,2,NA,NA,NA
13,023,0,3,NA,NA,NA
14,023,0,4,6,['B1'],677636
15,023,1,1,NA,NA,NA
16,023,1,2,5,"['B1', 'B3']",783303
17,023,1,3,6,['B1'],834239
18,023,1,4,NA,NA,NA
19,023,2,1,NA,NA,NA
20,023,2,2,4,['B3'],971403
21,023,2,3,6,['B1'],1020437
22,023,2,4,NA,NA,NA
23,023,3,1,5,['B3'],1099370
24,023,3,2,6,['B1'],1146859
25,023,3,3,NA,NA,NA
26,023,3,4,NA,NA,NA
27,023,4,1,NA,NA,NA
28,023,4,2,6,['B1'],1305320
29,023,4,3,NA,NA,NA
30,023,4,4,6,['B1'],1369620
31,023,5,1,6,['B1'],1412170
32,023,5,2,NA,NA,NA
33,023,5,3,6,['B1'],1495521
34,023,5,4,NA,NA,NA
35,023,6,1,NA,NA,NA
36,023,6,2,5,"['B3', 'B2']",1617654
37,023,6,3,NA,NA,NA
38,023,6,4,5,['B1'],1694171
39,023,7,1,NA,NA,NA
40,023,7,2,5,['B4'],1781888
41,023,7,3,NA,NA,NA
42,023,7,4,4,['B4'],1871026
43,023,8,1,5,['B1'],1945428
44,023,8,2,NA,NA,NA
45,023,8,3,NA,NA,NA
46,023,8,4,4,['B4'],2042522
47,023,9,1,NA,NA,NA
48,023,9,2,NA,NA,NA
49,023,9,3,5,['B1'],2167772
50,023,9,4,5,['B1'],2212572
51,023,10,1,5,"['B3', 'B2']",2292595
52,023,10,2,NA,NA,NA
53,023,10,3,6,['B1'],2361939
54,023,10,4,NA,NA,NA
55,023,11,1,NA,NA,NA
56,023,11,2,6,['B1'],2474755
57,023,11,3,NA,NA,NA
58,023,11,4,6,['B1'],2556312
