,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,041,training,1,NA,NA,NA
1,041,training,1,5,['B3'],236929
2,041,training,1,NA,NA,NA
3,041,training,1,6,['B1'],310093
4,041,0,1,6,['B1'],376243
5,041,0,2,6,['B1'],412310
6,041,0,3,NA,NA,NA
7,041,0,4,NA,NA,NA
8,041,1,1,4,['B4'],526426
9,041,1,2,NA,NA,NA
10,041,1,3,6,['B1'],618784
11,041,1,4,NA,NA,NA
12,041,2,1,NA,NA,NA
13,041,2,2,6,['B3'],744627
14,041,2,3,6,['B1'],780027
15,041,2,4,NA,NA,NA
16,041,3,1,NA,NA,NA
17,041,3,2,5,"['B1', 'B3']",899227
18,041,3,3,3,['B2'],950244
19,041,3,4,NA,NA,NA
20,041,4,1,NA,NA,NA
21,041,4,2,NA,NA,NA
22,041,4,3,4,['B3'],1112199
23,041,4,4,6,['B1'],1148078
24,041,5,1,2,['B2'],1194178
25,041,5,2,NA,NA,NA
26,041,5,3,NA,NA,NA
27,041,5,4,5,['B2'],1322478
28,041,6,1,NA,NA,NA
29,041,6,2,NA,NA,NA
30,041,6,3,5,['B1'],1429379
31,041,6,4,5,['B3'],1469712
32,041,7,1,NA,NA,NA
33,041,7,2,5,['B3'],1553568
34,041,7,3,NA,NA,NA
35,041,7,4,2,"['B3', 'B2']",1644196
36,041,8,1,6,['B1'],1696246
37,041,8,2,3,['B2'],1730179
38,041,8,3,NA,NA,NA
39,041,8,4,NA,NA,NA
40,041,9,1,2,['B2'],1841913
41,041,9,2,NA,NA,NA
42,041,9,3,NA,NA,NA
43,041,9,4,1,"['B2', 'B4']",1967313
44,041,10,1,4,['B5'],2020697
45,041,10,2,NA,NA,NA
46,041,10,3,NA,NA,NA
47,041,10,4,4,['B4'],2117180
48,041,11,1,NA,NA,NA
49,041,11,2,3,"['B3', 'B4']",2203397
50,041,11,3,5,['B3'],2253531
51,041,11,4,NA,NA,NA
